,psraid,form_abc,q2a,q2b,q2ef2,q6f2,q7ef2,q7ff2,q7gf2,q7hf2,q8df2,q8ef2,q8ff2,q11fa,q12fb,q13fc,educ2,schl,qe1,qe3,q16,q17,q18,q22f2,q23,q27,q32,q35,q49,q50a,q50b,q50c,q53ef2,q53ff2,q53gf2,q53hf2,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,sex,age,recage,recage2,gen5,marital,parent,hisp,race3m1,race3m2,race3m3,race3m4,racethn,racethn2,racecmb,birth_hisp,usborn1a,relig,chr,born,attend,income,reg,party,partyln,partysum,partyideo,ideo,ownrent,labor,hh1,hh3,ql1,ql1a,qc1,usr,cregion,state,density,child,laborsum,adults,ll,cp
2534,204851,2,1,1,1,1,2,2,1,1,2,2,1,NA,2,NA,6,6,3,1,1,NA,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,51,4,3,4,5,1,1,1,NA,NA,NA,3,3,1,1,NA,2,NA,2,3,7,1,1,NA,1,2,3,2,4,3,1,NA,NA,2,U,3,48,5,2,1,1,0,1
4482,212501,2,1,4,2,2,2,2,1,9,4,1,4,NA,1,NA,6,6,3,1,2,1,4,1,1,1,2,1,1,1,1,1,3,2,2,2,1,1,1,1,4,3,1,1,2,59,5,3,3,3,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,5,2,1,3,9,9,3,3,1,4,1,NA,NA,NA,2,U,3,40,4,0,1,1,0,1
1273,200073,3,1,4,1,1,1,2,1,2,1,1,1,NA,NA,2,3,6,3,1,1,NA,1,1,1,1,1,2,2,NA,NA,NA,9,2,1,1,2,2,2,4,2,1,2,2,1,49,4,2,4,6,2,2,2,NA,NA,NA,2,2,2,NA,1,13,NA,1,6,99,1,2,NA,2,4,1,2,NA,1,NA,NA,NA,2,U,2,17,5,0,1,1,0,1
3295,207872,2,1,1,2,2,1,3,1,1,4,2,2,NA,1,NA,8,6,3,1,1,NA,3,1,2,2,2,1,1,2,2,3,5,5,5,2,2,2,3,5,2,3,3,5,2,35,3,2,5,1,1,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,3,8,1,1,NA,1,2,3,1,4,5,2,NA,NA,1,R,2,55,1,3,1,2,1,1
830,103455,2,1,1,1,2,2,2,1,1,2,2,2,NA,2,NA,6,6,3,1,1,NA,1,1,2,1,4,1,2,3,2,1,3,3,3,2,2,2,3,5,3,3,1,4,1,61,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,6,8,1,2,NA,2,5,4,1,4,2,2,1,NA,NA,U,3,12,3,0,1,2,1,1
1352,200407,3,1,3,3,2,1,9,1,1,1,3,3,NA,NA,2,2,6,3,1,1,NA,1,2,1,NA,1,2,1,NA,NA,NA,1,1,1,2,1,1,1,1,1,1,1,1,1,22,1,1,5,3,2,1,7,NA,NA,NA,3,4,5,3,NA,13,NA,1,1,3,3,3,9,9,3,2,2,4,3,3,NA,NA,2,S,1,34,5,0,1,3,0,1
1719,201703,1,1,1,1,2,1,2,1,1,2,2,1,1,NA,NA,6,6,3,1,1,NA,1,1,2,1,1,2,1,1,1,1,3,2,2,2,3,1,1,3,2,2,1,3,1,36,3,2,4,3,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,5,8,1,1,NA,1,1,2,1,NA,1,NA,NA,NA,2,S,1,36,2,0,1,1,0,1
3253,207754,2,2,4,2,2,2,1,1,1,1,1,1,NA,2,NA,2,6,3,1,1,NA,1,3,1,NA,1,1,2,NA,NA,NA,3,3,2,2,2,2,2,1,3,2,2,2,1,48,4,2,4,2,2,1,7,NA,NA,NA,3,3,5,1,NA,12,NA,NA,6,3,1,9,9,9,9,4,1,4,1,NA,NA,NA,2,S,3,48,3,0,1,1,0,1
3890,210272,1,1,2,2,2,1,2,2,2,2,2,1,2,NA,NA,3,6,3,1,2,1,2,3,1,1,1,1,1,NA,NA,NA,3,3,3,3,1,1,3,4,3,3,2,1,2,29,2,1,5,2,1,2,1,NA,NA,NA,1,1,1,NA,2,12,NA,NA,3,4,3,1,NA,1,1,2,2,4,3,2,NA,NA,2,S,1,25,4,1,1,2,0,1
2426,204445,1,3,2,1,2,2,2,1,2,1,1,3,3,NA,NA,3,6,3,1,8,1,1,1,1,1,3,1,2,NA,NA,NA,4,3,2,4,1,2,3,3,4,5,1,1,1,39,3,2,4,2,1,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,6,5,1,1,NA,1,1,2,2,4,4,2,NA,NA,2,R,3,40,1,2,1,2,0,1
